GeneSet	BM448.CG2.LUC.mCherry.no71	BM449.CG2.LUC.mCherry.no75	BM455.CG2.LUC.mCherry.no84	BM462.CG2.LUC.mCherry.no98	BM472.CG2.RAS.mCherry.no77	BM508.CG2.RAS.mCherry.no79	BM522.CG2.RAS.mCherry.no70	BM458.MIC.LUC.mCherry.no102	BM474.MIC.LUC.mCherry.no106	BM485.MIC.LUC.mCherry.no110
Lat2	22.01	10.58	5.5	3.37	51.83	67.75	117.8	52.79	94.06	46.43
Tmtc3	5.47	7.15	9.02	11.26	10.34	4.56	4.18	2.39	5.58	4.53
Tmtc2	0.16	0.0	0.11	0.03	0.27	0.24	0.67	0.15	1.78	0.2
Vldlr	3.05	0.29	0.38	0.08	0.58	8.93	19.77	0.14	0.19	0.16
Tmtc1	0.04	0.04	0.01	0.01	0.05	1.38	0.0	0.31	0.09	0.08
Abca16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abca17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.01
Abca14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abca15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abca12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abca13	5.06	0.35	1.33	0.25	0.3	0.14	0.39	20.94	4.61	27.88
Aass	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0
Tmtc4	2.15	3.52	2.04	3.76	3.66	3.84	2.21	1.83	2.32	2.3
Rcc1l	10.15	11.8	10.15	11.47	15.57	8.87	11.59	3.38	7.16	4.18
Anks4b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klhdc8a	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0
Garnl3	0.09	0.0	0.46	0.25	0.51	0.03	0.4	0.44	0.2	0.22
Sirpb1c	7.89	0.58	1.4	0.76	0.59	1.75	1.13	23.4	9.65	33.64
Sec13	84.95	94.4	89.22	85.7	96.78	106.65	109.02	59.35	63.2	76.94
Cyp2j5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyp2j7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyp2j6	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.07	1.27	0.26
Cyp2j9	0.04	0.0	0.04	0.0	0.04	0.0	0.0	0.16	2.21	0.92
Klhdc8b	3.8	4.24	1.46	4.67	9.35	90.56	8.44	0.52	3.16	1.87
Cyp2j8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gpatch2l	8.78	11.81	7.34	11.13	11.94	8.49	8.73	13.51	17.16	16.99
Camk2n1	0.34	0.1	0.13	0.16	0.0	0.79	0.6	0.27	0.21	0.25
Fabp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fabp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fabp3	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0
Camk2n2	0.33	0.45	0.12	0.15	0.43	0.25	0.33	0.68	0.38	0.45
Fabp4	0.68	3.9	0.54	0.22	0.32	1.83	1.85	5.73	1.91	4.58
Fabp5	59.31	11.4	57.96	14.77	26.78	12.71	41.3	21.66	51.98	31.19
Fabp6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fabp7	0.44	0.0	0.0	0.12	0.0	0.17	0.0	0.14	0.0	0.25
Wasl	8.16	11.86	5.84	9.57	8.43	10.88	11.21	4.67	6.86	6.03
Fam47e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tram1	143.24	244.45	154.61	242.87	152.2	86.87	158.48	68.65	64.79	87.8
Fam47c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mis12	31.71	35.48	31.87	34.36	31.03	27.87	22.64	23.28	21.05	33.01
Klhdc7b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klhdc7a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fabp9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15
Tram2	2.52	1.83	2.12	2.0	3.59	1.8	2.86	3.56	3.98	6.17
Adra2a	0.83	3.03	0.38	3.06	0.26	0.1	0.53	0.0	0.02	0.0
Rtl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clec1a	0.1	0.37	0.0	0.03	0.0	0.04	0.07	0.03	8.38	0.04
Adra2c	0.02	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0
Gm4187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adra2b	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nup35	15.87	19.12	30.65	26.19	27.36	34.66	24.96	14.98	16.24	16.68
Cilp2	0.04	0.0	0.02	0.0	0.02	0.0	0.0	0.01	0.0	0.0
Hist4h4	0.48	0.58	0.34	0.29	0.37	0.46	0.65	0.68	1.38	0.77
Gm20903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm20906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm20905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm20908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clec1b	45.19	167.93	29.06	21.43	29.59	42.04	55.12	3.82	40.33	1.8
Nup37	16.9	26.13	28.76	22.61	37.19	28.78	29.11	9.58	16.82	18.49
Gm20909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dmrt2	0.0	0.04	0.06	0.27	0.38	0.0	0.1	0.11	0.03	0.03
Dmrt1	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.08
Dmrt3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.05
Pnck	0.22	1.74	1.03	0.8	3.37	0.09	0.34	0.4	0.19	1.33
Adra1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
Adra1a	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0
Adra1d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chil1	87.72	13.88	27.09	3.72	3.53	5.04	12.24	351.75	77.46	454.0
Nup43	27.71	26.64	35.53	31.48	25.95	31.81	22.1	7.84	14.0	15.5
Chil3	1323.06	103.18	529.52	42.46	31.49	47.51	101.23	3149.5	552.69	3449.67
Lax1	3.25	0.81	0.99	1.27	1.51	2.23	3.01	15.18	17.21	11.26
1110059E24Rik	22.0	26.5	21.12	32.72	28.72	12.77	25.77	25.91	22.44	29.92
Chil5	2.97	0.92	0.67	1.04	1.26	0.23	4.75	12.89	2.08	18.63
Chil4	0.97	0.0	0.33	0.0	0.0	0.05	0.06	2.73	0.46	2.68
Chil6	0.05	0.06	0.05	0.06	0.05	0.0	0.0	0.0	0.0	0.04
Lekr1	1.23	2.32	1.08	3.33	3.45	0.29	0.89	0.68	0.71	0.62
Dscam	0.01	0.1	0.01	0.01	0.0	0.02	0.02	0.25	0.13	0.16
Dkc1	124.8	122.47	143.92	147.02	170.47	121.46	107.65	23.34	72.74	47.54
Dscc1	19.46	22.77	22.12	22.22	15.29	23.91	13.74	5.36	9.47	8.95
Rtn3	116.97	104.22	106.98	116.38	110.69	84.09	103.45	98.57	75.78	135.97
Hebp1	2.99	3.71	5.53	0.45	24.01	184.84	9.73	8.46	24.63	48.37
Hebp2	0.0	0.04	0.04	0.0	0.11	1.26	0.25	0.11	1.26	0.27
Rtn2	0.5	0.82	0.44	0.53	0.95	0.99	0.57	0.26	0.0	0.0
Rtn1	0.0	0.0	0.0	0.0	0.13	0.2	0.11	0.31	0.24	0.41
Gm20920	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nup50	48.68	55.02	51.34	53.97	51.19	49.46	51.81	21.26	32.27	36.61
Gm20924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chad	0.25	0.34	0.18	0.0	0.81	0.3	0.25	0.22	0.54	0.0
Aplnr	0.2	0.0	0.0	0.0	0.0	0.02	0.0	0.99	0.49	2.21
Nup54	38.98	51.07	42.52	45.23	40.9	48.65	32.65	19.84	27.87	28.57
Gm20929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Layn	1.23	2.48	0.86	0.22	4.64	7.08	0.98	1.1	6.03	2.0
Rtn4	64.83	67.74	48.78	71.47	89.62	55.15	96.21	73.18	61.77	81.16
Chat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mpeg1	34.48	11.7	9.79	2.61	6.3	17.14	9.39	245.44	90.14	298.11
Isg20	100.22	64.61	167.75	76.75	28.88	324.32	85.83	180.75	248.04	130.33
Gm4175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rtkn	0.72	0.52	0.41	0.53	0.45	0.64	0.17	0.42	4.09	0.36
Gm4177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm20911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nup62	66.85	78.14	73.49	70.88	75.05	68.56	54.0	24.15	39.38	39.07
Gm20914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Krtap17-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm20917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm20916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm20918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tdrd12	0.0	0.46	0.0	0.0	0.25	0.02	0.0	0.0	0.16	0.04
Azin2	0.44	0.5	0.26	0.0	0.26	0.33	1.62	0.67	1.0	1.19
Magohb	20.62	29.73	30.67	37.64	40.67	31.45	30.38	18.13	22.67	21.93
Pds5b	25.31	27.18	27.23	31.35	29.97	21.08	27.6	17.2	24.63	22.28
Isg15	39.36	41.78	28.83	14.16	32.66	557.87	97.26	69.87	125.29	67.91
Gm4181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pds5a	151.94	164.05	158.79	201.55	154.89	130.02	131.69	92.47	94.06	124.33
Azin1	140.98	130.21	159.33	110.84	88.73	126.74	107.62	66.12	89.57	125.36
Rtp4	20.75	23.35	7.39	8.43	17.28	51.34	12.61	12.37	12.42	19.2
Igsf11	0.0	0.12	0.05	0.0	0.06	0.0	0.0	0.0	0.0	0.0
Rtp3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Igsf10	0.02	0.0	0.0	0.03	0.03	0.02	0.0	0.43	0.05	0.05
Rtp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rtp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clec5a	34.63	4.36	9.25	1.08	1.18	1.58	6.3	117.2	24.71	149.56
Mea1	54.26	56.31	48.35	61.88	77.99	61.56	73.98	34.28	39.08	43.68
Abcf2	50.76	46.51	55.11	46.35	59.92	55.38	65.16	25.78	36.94	34.28
Abcf3	14.13	22.7	18.7	30.15	27.87	25.26	24.34	18.19	20.05	18.81
Abcf1	137.21	156.74	135.09	144.49	163.82	160.08	159.94	58.49	91.26	77.73
Igbp1	68.02	77.63	67.97	79.64	78.32	51.28	76.02	39.67	52.98	48.18
Clec4n	0.64	1.65	0.49	0.6	0.34	1.72	0.84	0.65	0.38	1.95
Pcdha11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pcdha12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clec4d	54.27	55.81	31.84	26.26	98.68	25.13	74.43	7.31	2.48	64.94
Cad	40.98	35.34	45.67	44.46	50.91	45.54	52.96	9.19	24.46	15.42
Clec4f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.13	0.0
Abcg3	0.48	1.16	0.56	0.06	0.23	0.27	0.27	4.92	5.68	4.24
Clec4e	32.03	20.95	12.66	18.46	4.6	14.29	16.91	23.82	3.71	60.47
Abcg4	1.31	3.32	10.26	1.83	1.46	37.6	2.38	1.88	9.99	15.02
Abcg1	48.96	30.18	27.77	28.48	35.43	8.1	48.18	11.56	11.58	11.98
Abcg2	340.55	318.31	397.53	410.18	118.93	177.8	212.13	11.25	62.77	59.01
AA986860	1.16	3.14	1.38	1.32	1.92	2.97	1.34	0.26	1.78	1.4
Clec4g	6.53	7.31	1.9	3.04	3.11	15.02	6.23	0.11	0.26	0.38
Nim1k	0.22	0.26	0.21	0.17	0.2	0.06	0.08	0.2	0.64	0.24
Abcg8	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enho	0.0	0.0	0.0	0.0	0.07	0.05	0.0	0.0	0.22	0.21
Chd1	62.94	73.9	56.39	75.47	75.57	61.49	70.56	30.75	45.19	48.1
Abcg5	0.0	0.04	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0
Chd2	48.63	52.08	33.9	44.64	38.52	38.09	40.07	33.59	39.58	35.63
Chd3	133.87	100.68	91.05	123.36	69.92	85.79	145.99	39.61	27.86	30.11
Chd4	247.52	259.12	196.05	266.48	288.62	152.01	273.7	101.48	167.84	129.21
Chd5	0.67	1.19	0.13	0.63	0.41	0.38	0.48	0.0	0.05	0.03
Aplp1	1.21	0.27	1.37	0.51	0.46	0.15	0.21	0.09	0.03	0.15
Abca8a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11
Abca8b	0.0	0.0	0.0	0.02	0.07	0.0	0.02	0.06	0.0	0.14
Cat	84.04	103.39	116.26	113.48	77.99	149.81	94.9	110.52	155.93	94.07
Aplp2	82.21	85.57	117.91	99.23	89.93	212.01	53.9	36.66	37.89	58.25
Chd6	19.38	33.7	14.79	28.6	29.59	14.12	17.16	13.42	26.96	15.61
Chd7	6.59	3.82	2.04	4.2	10.18	3.64	11.76	15.79	5.33	16.47
Chd8	57.69	70.24	39.97	65.83	61.98	42.23	47.77	38.59	43.36	45.46
Chd9	39.98	49.2	28.61	46.37	36.04	15.17	43.9	41.72	44.13	60.72
Clec3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klhdc10	20.99	25.41	24.21	23.38	30.2	25.53	22.31	19.99	27.35	27.34
Clec3b	0.17	0.3	0.24	0.19	0.09	0.2	0.17	0.0	0.0	0.13
Cbl	35.76	27.61	23.19	27.0	28.73	17.63	26.44	67.06	36.47	69.58
Abcd1	9.53	3.85	4.37	3.47	4.94	3.9	4.57	38.33	27.28	43.94
Prima1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mutyh	3.38	2.53	4.03	4.88	5.18	2.7	1.61	4.88	5.5	7.56
Abcd4	4.03	4.76	2.38	4.12	4.06	2.47	4.64	1.87	2.59	2.69
Cd2	1.11	1.37	0.69	0.33	0.72	3.88	3.09	57.76	34.19	33.83
Pnkd	18.15	18.59	19.09	20.9	20.12	21.94	14.87	15.45	11.78	12.73
Cd4	0.05	0.49	0.13	0.14	0.42	0.59	0.86	2.89	4.84	4.27
Abcd2	7.91	0.76	2.32	0.28	0.4	0.32	0.48	19.24	4.45	23.03
Abcd3	7.93	8.91	9.9	10.13	9.55	8.24	7.89	9.64	10.63	13.33
Cd6	0.08	0.13	0.1	0.08	0.12	0.57	0.49	3.72	1.8	1.79
Clec2l	0.06	0.13	0.11	0.26	0.32	0.0	0.06	0.04	0.15	0.0
Cbs	0.12	0.0	0.03	0.0	0.07	0.0	0.07	0.0	0.16	0.18
Cd5	0.16	0.0	0.0	0.09	0.04	0.55	0.28	3.69	2.56	1.53
Trat1	0.13	0.15	1.1	0.0	0.0	0.2	0.0	0.43	0.33	0.2
Cd7	33.94	16.64	18.56	8.0	2.3	1.34	7.01	17.88	13.05	26.78
Cd9	245.37	436.48	140.63	296.76	572.55	132.69	364.66	151.88	157.98	182.99
Ccp110	10.94	14.29	14.53	14.48	12.53	21.53	8.67	9.33	14.47	19.83
Cyp2b9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
Atraid	51.85	51.61	42.78	54.66	51.68	32.91	47.06	23.27	27.27	30.13
Prl2c3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Swt1	17.02	19.47	17.63	16.37	12.89	23.99	8.93	11.29	17.29	12.99
Prl2c5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0
Clec2h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clec2g	0.35	0.04	0.03	0.0	0.0	0.0	0.0	0.18	0.37	0.33
Chdh	2.58	0.39	0.87	0.1	0.23	0.13	0.24	8.16	2.12	14.82
Cck	0.83	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0
Prl2c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clec2i	1.6	0.59	0.56	0.21	0.26	0.67	0.45	30.52	25.12	22.27
Prl2c2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clec2d	57.5	81.19	65.52	192.92	104.35	13.86	42.04	67.25	82.47	61.34
Abce1	78.63	84.75	119.28	101.97	115.83	94.59	98.25	29.4	54.66	40.43
Clec2e	0.04	0.0	0.0	0.04	0.0	0.0	0.0	0.03	0.0	0.0
Nr2c2ap	20.16	19.72	17.61	20.23	28.94	15.31	19.6	10.09	17.79	11.75
Ccs	23.31	24.52	27.1	27.17	33.1	26.38	32.27	10.72	18.54	13.61
Ebna1bp2	115.47	122.01	137.34	143.14	136.89	120.53	117.0	40.72	66.24	56.8
Cyp2a4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyp2a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0
Sertm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Afg3l2	69.75	57.16	68.0	60.49	58.4	68.51	65.43	16.16	27.63	28.29
Chgb	0.09	0.07	0.0	0.0	0.1	0.02	0.03	0.0	0.02	0.02
Gm6760	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cda	2.28	5.91	1.06	3.01	5.87	36.07	7.21	0.0	0.35	0.0
Afg3l1	40.6	55.86	36.69	46.46	52.44	43.5	35.29	14.17	16.31	21.37
Gm21833	0.06	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.09
Gm45800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm21830	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mecr	24.39	33.88	24.25	32.96	32.55	18.08	24.56	9.07	15.03	16.0
Gm5431	0.25	0.16	0.08	0.0	0.0	0.24	0.07	2.91	2.16	2.97
Gm21836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm20503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm6763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm5434	0.06	0.07	0.05	0.07	0.13	0.09	0.23	0.04	0.05	0.09
Gm21834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm5435	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.06
Gm6768	9.55	8.5	13.83	15.96	8.87	3.41	10.26	7.79	13.65	9.21
Rpl35	1183.3	1017.07	1289.51	1054.48	912.07	1147.26	1014.93	361.8	713.02	518.64
Rpl36	1724.85	1545.71	1684.96	1574.44	1407.18	1626.26	1494.82	603.22	1203.23	825.08
Gm45808	2.2	0.22	1.57	0.78	0.26	0.19	0.0	0.0	0.91	1.15
Rpl37	526.65	388.72	504.34	430.48	407.53	481.88	421.58	186.06	345.9	238.14
Eno1	401.19	200.46	272.61	231.61	251.41	293.33	505.95	355.82	176.22	424.54
Rpl38	1395.0	1259.53	1388.82	1185.43	1214.91	1265.3	1272.87	602.91	983.32	730.71
Gm20509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eno3	17.45	14.41	12.19	14.49	14.14	8.87	14.42	6.19	7.89	8.35
Rpl39	1766.58	1748.21	1850.5	1886.65	1621.2	1383.4	1684.77	577.5	975.9	723.17
Eno2	0.74	0.16	0.1	0.0	0.43	2.25	4.0	0.0	0.11	0.0
Eno4	0.15	0.0	0.08	0.05	0.0	0.06	0.0	0.0	0.0	0.0
Gstk1	13.71	24.61	11.09	25.4	28.22	7.48	15.72	2.18	1.79	2.94
Lmbr1l	8.8	7.71	6.65	5.6	7.46	9.51	7.09	17.64	11.17	19.16
Rpl30	1550.48	1259.66	1525.66	1352.32	1255.85	1296.47	1364.36	760.54	1056.89	889.64
Shmt2	155.61	112.18	162.25	102.24	110.77	125.58	107.46	23.6	64.26	42.86
Suclg1	76.27	93.49	84.59	82.83	123.63	54.3	109.07	46.27	68.66	60.11
Rpl31	1244.73	1034.25	1332.24	1278.27	1021.27	1259.37	943.4	602.65	937.46	784.31
Rpl32	3629.48	3790.46	3894.47	3610.21	3601.11	3501.96	3717.59	1296.81	2562.5	1708.28
Shmt1	20.59	16.6	21.6	22.7	23.95	13.13	23.51	6.19	17.46	11.44
Suclg2	75.34	78.78	73.93	79.04	101.6	37.0	68.83	13.44	39.13	22.3
Rpl34	1295.54	1227.65	1524.42	1304.42	1133.18	1673.98	1346.13	658.68	1011.75	818.11
Nkain4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Med1	37.08	40.25	33.39	48.81	38.28	31.07	30.99	21.28	24.69	28.62
Nkain3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm21822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Crhbp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.48	0.04	0.46
Nkain2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kcna7	0.0	0.0	0.0	0.0	0.0	0.03	0.04	0.0	0.0	0.0
Nkain1	0.58	0.24	0.23	0.37	0.27	0.73	1.08	0.0	0.5	0.33
Gm21820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kcna6	0.0	0.09	0.0	0.0	0.17	0.05	0.02	0.0	0.0	0.0
Pnkp	60.63	28.53	28.58	25.63	29.11	35.25	34.56	116.76	36.07	149.44
Kcna5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
Gm5444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kcna4	0.0	0.04	0.0	0.02	0.0	0.64	0.0	0.0	0.0	0.0
Kcna3	5.55	11.39	3.92	8.54	15.69	4.39	7.28	6.14	13.88	5.28
Med8	67.66	62.87	69.61	65.62	55.26	82.77	61.97	59.6	45.22	70.04
Kcna2	0.07	0.24	0.04	0.04	0.06	0.04	0.01	0.3	0.19	0.05
Gm5447	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.03	0.04	0.0
Rpl24	1171.59	1123.28	1263.15	1176.32	1073.42	1162.66	1245.21	431.01	763.12	585.66
Kcna1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Med9	13.48	19.33	12.65	13.64	18.44	14.35	13.25	4.68	8.25	8.28
Rpl26	3041.26	2727.73	3344.75	2789.36	2473.01	3014.45	2702.04	1194.34	2117.69	1552.97
Gm5449	0.3	0.0	0.82	0.65	0.0	0.0	0.58	0.0	0.0	0.23
Cel	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0
Abat	2.3	6.84	4.09	9.57	21.18	15.66	15.63	0.28	0.46	0.72
Rpl27	158.0	138.08	175.05	125.98	117.74	135.61	124.69	66.02	103.07	80.56
Gm21828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Med4	40.54	40.0	38.23	39.23	43.77	39.96	34.9	22.44	25.1	29.13
Rpl28	1106.37	920.84	921.86	1036.72	916.47	787.77	933.04	315.41	645.72	466.04
Dkk1	0.13	0.0	0.09	0.04	0.0	0.0	0.07	0.0	0.0	0.0
Rpl29	1410.57	1354.34	1568.52	1391.46	1293.0	1404.65	1488.97	517.3	982.39	696.35
Med6	23.5	27.33	25.58	23.1	25.68	30.6	18.87	13.5	18.3	26.72
Dkk2	0.0	0.0	0.0	0.0	0.0	0.03	0.04	0.0	0.0	0.0
Med7	36.7	37.37	38.25	38.09	36.4	45.47	36.87	17.95	30.19	29.33
Dkk3	0.02	0.0	0.16	0.0	0.0	0.09	0.07	0.03	0.3	0.02
Dkk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Chfr	33.39	44.7	35.24	46.59	49.89	62.63	45.2	42.2	36.45	52.58
Zfp780b	6.04	8.23	6.29	9.5	8.24	3.28	3.87	3.59	6.29	4.46
Rpl21	1964.85	2124.51	2049.07	1957.63	1890.45	1635.49	1927.52	711.72	1463.71	907.93
Rpl22	1744.89	1540.86	1908.79	1695.44	1451.04	1708.7	1546.86	567.24	1017.45	782.98
Rpl23	2154.17	2026.37	2259.12	2124.5	1897.54	2029.75	2328.95	811.49	1476.27	1022.56
Ube2l6	234.6	222.65	277.5	202.25	108.96	382.32	224.97	400.8	459.59	226.62
Ube2l3	95.47	91.02	90.91	96.08	95.92	75.52	91.59	57.03	59.08	67.83
Cfb	0.8	0.47	0.83	0.23	0.79	1.6	0.75	1.33	0.54	1.85
Chga	0.0	0.0	0.04	0.0	0.0	0.0	0.04	0.0	0.0	0.0
Rab22a	26.77	30.07	22.31	26.31	29.86	34.83	30.86	14.27	16.65	21.19
Cfd	0.1	0.11	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.29
Gm21854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
As3mt	27.33	19.67	11.86	39.3	21.08	8.85	19.79	4.24	1.26	5.91
Gm20521	1.85	0.97	0.0	1.54	2.68	0.0	0.0	0.76	0.31	0.56
Gm21852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cfh	0.54	0.34	0.08	0.13	0.13	0.74	0.08	5.57	1.83	7.22
Gm21858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm6741	32.21	50.04	46.36	64.39	51.61	35.33	31.96	8.72	13.45	19.28
Pnp2	4.48	13.91	18.65	10.02	5.63	92.87	13.49	9.79	22.26	25.39
Cfi	0.0	0.05	0.0	0.19	0.04	0.32	0.0	0.03	0.0	0.0
Vopp1	55.18	59.81	71.23	77.17	45.6	101.44	45.12	26.04	60.67	47.68
Gm5414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm5415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm5416	0.0	0.0	3.13	0.0	0.0	0.29	0.0	0.0	0.31	1.72
Slco2a1	0.01	0.0	0.0	0.0	0.08	0.02	0.02	0.02	0.05	0.07
